INSTANCESITUATION,FIRSTOCCURRENCE_UTC,Interval
Percent CPU Utilization,1465196364,780
Disk service queue full,1465196606,1560
Disk service queue full,1465197386,1200
Percent disk active,1465198946,840
Disk service queue full,1465200146,778
Disk service queue full,1465200986,242
Percent CPU Utilization,1465201764,58
Disk service queue full,1465202006,482
Percent CPU Utilization,1465202064,118
Disk service queue full,1465202546,300
Percent CPU Utilization,1465202664,3
15 Minute Average PageIn/PageOut,1465202964,719
Percent space used,1465202967,3780
Disk service queue full,1465203686,300
Disk service queue full,1465207466,598
Disk service queue full,1465207766,2583
Percent CPU Utilization,1465208364,0
Percent cpu idle,1465210947,0
Disk service queue full,1465210947,0
Disk service queue full,1465210947,0
Percent cpu idle,1465210947,59
Disk service queue full,1465211006,0
Disk service queue full,1465211006,1322
Disk service queue full,1465211006,2158
Percent CPU Utilization,1465213164,1
Disk service queue full,1465214486,62
Disk service queue full,1465214487,237
Percent cpu idle,1465214549,658
Disk service queue full,1465214786,962
15 Minute Average PageIn/PageOut,1465215444,1800
Disk service queue full,1465216406,182
Disk service queue full,1465218206,58
Disk service queue full,1465218388,720
Disk service queue full,1465218446,840
Disk service queue full,1465219166,538
Disk service queue full,1465220006,1142
15 Minute Average PageIn/PageOut,1465220544,0
Disk service queue full,1465221686,0
Disk service queue full,1465221686,0
Disk service queue full,1465221686,0
Disk service queue full,1465221686,0
Disk service queue full,1465221686,1
Percent cpu idle,1465221687,59
Percent cpu idle,1465221687,60
Disk service queue full,1465221746,1858
Disk service queue full,1465221806,900
Percent CPU Utilization,1465223664,420
Percent CPU Utilization,1465224564,302
15 Minute Average PageIn/PageOut,1465224984,60
Disk service queue full,1465225286,60
Disk service queue full,1465225346,2758
Disk service queue full,1465225406,120
Percent CPU Utilization,1465228164,602
15 Minute Average PageIn/PageOut,1465228284,120
Disk service queue full,1465228886,898
Disk service queue full,1465229006,780
15 Minute Average PageIn/PageOut,1465229904,122
15 Minute Average PageIn/PageOut,1465230684,781
Disk service queue full,1465230806,1019
Disk service queue full,1465231587,841
Disk service queue full,1465232606,417
Percent space used,1465233447,542
Percent CPU Utilization,1465233864,596
Disk service queue full,1465234406,1205
Percent CPU Utilization,1465235002,357
Disk service queue full,1465236207,903
Percent CPU Utilization,1465236564,539
Disk service queue full,1465237467,780
Disk service queue full,1465238006,660
Disk service queue full,1465238786,360
Disk service queue full,1465239446,60
Disk service queue full,1465239806,1740
Disk service queue full,1465239866,1800
Disk service queue full,1465241606,1558
Disk service queue full,1465243406,242
Percent CPU Utilization,1465244964,780
Disk service queue full,1465245206,2461
Disk service queue full,1465245986,55
Percent space used,1465248447,1262
Percent CPU Utilization,1465248502,785
Percent CPU Utilization,1465249764,953
Percent disk active,1465250549,424
Percent CPU Utilization,1465251502,60
Percent disk active,1465251926,420
Disk service queue full,1465251986,60
Disk service queue full,1465252406,119
Percent disk active,1465252466,601
15 Minute Average PageIn/PageOut,1465252585,180
Disk service queue full,1465253186,1860
Percent disk active,1465253366,658
Disk service queue full,1465255226,122
15 Minute Average PageIn/PageOut,1465255884,58
Percent disk active,1465256006,2
Percent CPU Utilization,1465256064,1738
Percent disk active,1465256066,60
15 Minute Average PageIn/PageOut,1465257804,1742
Percent CPU Utilization,1465257864,0
Disk service queue full,1465259606,239
Percent disk active,1465259606,1440
Disk service queue full,1465261046,61
Percent space used,1465261285,120
Disk service queue full,1465261346,1498
Disk service queue full,1465261466,242
Percent CPU Utilization,1465262964,1858
Disk service queue full,1465263206,1742
Percent CPU Utilization,1465265064,1197
Disk service queue full,1465266806,484
Service status,1465268003,59
Disk service queue full,1465268487,1
Disk service queue full,1465268546,360
Disk service queue full,1465268547,658
Disk service queue full,1465268907,299
15 Minute Average PageIn/PageOut,1465269565,1260
Percent CPU Utilization,1465269864,1440
15 Minute Average PageIn/PageOut,1465271124,1442
Percent CPU Utilization,1465272564,60
Percent disk active,1465274006,1440
Percent disk active,1465274066,181
Disk service queue full,1465275506,299
Disk service queue full,1465275687,600
Percent disk active,1465275986,178
Disk service queue full,1465276586,303
Percent CPU Utilization,1465276764,119
Percent space used,1465277067,301
Percent disk active,1465277186,4677
Percent space used,1465277487,242
Percent CPU Utilization,1465282164,601
Percent disk active,1465282406,595
Disk service queue full,1465283007,185
Percent CPU Utilization,1465283602,1801
Disk service queue full,1465283787,2279
Disk service queue full,1465285588,597
Disk service queue full,1465287867,122
Percent CPU Utilization,1465288464,478
Disk service queue full,1465288586,241
Percent CPU Utilization,1465289064,62
15 Minute Average PageIn/PageOut,1465289305,297
Percent space used,1465289367,1204
Percent CPU Utilization,1465289664,119
Disk service queue full,1465290868,477
Disk service queue full,1465290987,2463
Percent CPU Utilization,1465291464,1737
Disk service queue full,1465293927,1623
Percent CPU Utilization,1465295664,60
Percent cpu idle,1465297287,0
Percent cpu idle,1465297347,240
Disk service queue full,1465297347,2040
Disk service queue full,1465297587,1260
Disk service queue full,1465299627,60
Percent cpu idle,1465300887,838
Percent cpu idle,1465300947,1679
15 Minute Average PageIn/PageOut,1465301785,1323
Percent CPU Utilization,1465303464,60
Disk service queue full,1465304787,540
Disk service queue full,1465304847,960
Disk service queue full,1465305387,1740
Percent space used,1465306347,0
Disk service queue full,1465308087,0
Disk service queue full,1465308087,0
Percent cpu idle,1465308087,0
Disk service queue full,1465308087,0
Percent cpu idle,1465308087,0
Disk service queue full,1465308087,60
Disk service queue full,1465308087,3118
Disk service queue full,1465308147,299
cpu_busy : CPU Status,1465311265,123
Percent CPU Utilization,1465311564,60
Disk service queue full,1465311687,1740
Disk service queue full,1465311747,1800
Disk service queue full,1465313487,1078
Disk service queue full,1465315287,599
15 Minute Average PageIn/PageOut,1465316365,423
Percent CPU Utilization,1465316964,1353
Disk service queue full,1465317387,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,0
Percent space used,1465318740,904
Percent space used,1465318740,1163
Service status,1465319903,780
Disk service queue full,1465320807,480
Disk service queue full,1465321587,120
Percent disk active,1465322067,1015
Disk service queue full,1465322187,1985
Percent CPU Utilization,1465323202,660
Disk service queue full,1465325187,420
Disk service queue full,1465325847,1497
Disk service queue full,1465326267,183
Percent CPU Utilization,1465327764,60
Percent disk active,1465327947,780
Disk service queue full,1465328007,180
Disk service queue full,1465328787,840
Percent disk active,1465328967,1800
Disk service queue full,1465329807,957
Disk service queue full,1465331607,903
Percent CPU Utilization,1465332564,360
Percent space used,1465333467,60
Disk service queue full,1465333827,1320
Pages Written per Sec,1465333887,3180
Percent space used,1465335207,420
Disk service queue full,1465338387,178
Disk service queue full,1465338807,602
15 Minute Average PageIn/PageOut,1465338985,717
Disk service queue full,1465339587,781
Service status,1465340304,542
15 Minute Average PageIn/PageOut,1465341085,658
Disk service queue full,1465341627,480
15 Minute Average PageIn/PageOut,1465342285,1262
Percent CPU Utilization,1465342765,1860
Disk service queue full,1465344027,177
Disk service queue full,1465345887,303
Percent CPU Utilization,1465346064,60
Percent disk active,1465346367,1020
Used Memory Pct,1465346427,209
Disk service queue full,1465347447,92
Percent space used,1465347656,119
Disk service queue full,1465347748,1020
Disk service queue full,1465347867,1020
Disk service queue full,1465348887,58
Used Memory Pct,1465349907,537
Percent CPU Utilization,1465349965,785
Percent CPU Utilization,1465350502,120
Disk service queue full,1465351287,540
Disk service queue full,1465351407,900
Percent disk active,1465351947,839
Disk service queue full,1465352847,117
Percent space used,1465353686,304
Service status,1465353803,300
Percent space used,1465354107,480
Disk service queue full,1465354407,60
Disk service queue full,1465354887,60
Disk service queue full,1465354947,360
Disk service queue full,1465355007,538
Disk service queue full,1465355367,1322
15 Minute Average PageIn/PageOut,1465355905,1737
Percent disk active,1465357227,663
Percent CPU Utilization,1465358964,2460
Percent disk active,1465359627,0
Disk service queue full,1465362087,60
Disk service queue full,1465362087,2218
Used Memory Pct,1465362147,362
Percent CPU Utilization,1465364365,480
Percent disk active,1465364727,1086
Disk service queue full,1465365207,103
ccc_pgspc_xuxw_std,1465366293,4
HA Keep Alive Pkts per Sec,1465366396,11
Used Pct,1465366400,1
Used Memory Pct,1465366411,1
Used Memory Pct,1465366412,1
Used Memory Pct,1465366413,0
Disk service queue full,1465366414,0
Used Memory Pct,1465366414,52
Used Memory Pct,1465366414,84
Not enough free archive space,1465366498,0
Disk service queue full,1465366550,0
Disk service queue full,1465366550,185
ccc_prcmis_xuxc_std,1465366735,0
ccc_prcmis_xuxc_std,1465366735,487
Service status,1465367222,0
Service status,1465367222,1
Service status,1465367223,0
Service status,1465367223,0
Service status,1465367223,0
Service status,1465367223,0
Service status,1465367223,0
Service status,1465367223,115
Service status,1465367338,0
Service status,1465367338,180
Service status,1465367338,596
Percent CPU Utilization,1465367934,1081
Percent CPU Utilization,1465368114,236
Percent space used,1465369195,0
Disk service queue full,1465369431,555
Disk service queue full,1465369431,780
Disk service queue full,1465370211,468
Percent disk active,1465370766,723
Percent CPU Utilization,1465371234,1020
Disk service queue full,1465371957,778
Disk service queue full,1465372977,2
15 Minute Average PageIn/PageOut,1465373755,177
Disk service queue full,1465373757,843
Percent CPU Utilization,1465373934,600
Disk service queue full,1465374777,57
Disk service queue full,1465375377,180
Percent CPU Utilization,1465375434,181
Percent CPU Utilization,1465375614,242
15 Minute Average PageIn/PageOut,1465375795,540
Percent space used,1465376037,2460
Percent disk active,1465376577,266
Percent disk active,1465379037,814
Service status,1465379303,60
Disk service queue full,1465380117,338
Used Memory Pct,1465380177,619
Percent space used,1465380515,581
Percent CPU Utilization,1465381134,2002
Percent space used,1465381715,60
Disk service queue full,1465383717,0
Percent cpu idle,1465383777,0
Disk service queue full,1465383777,120
Percent cpu idle,1465383777,480
Disk service queue full,1465383897,1200
Percent space used,1465384377,1800
Percent disk active,1465385577,0
Percent cpu idle,1465387377,599
Disk service queue full,1465387377,958
15 Minute Average PageIn/PageOut,1465388335,243
Percent CPU Utilization,1465388934,1080
Disk service queue full,1465389177,0
Percent disk active,1465390257,0
Percent disk active,1465390257,1020
Disk service queue full,1465391277,657
Disk service queue full,1465391277,1623
Percent CPU Utilization,1465391934,458
Disk service queue full,1465393557,442
Percent space used,1465394015,0
Disk service queue full,1465394457,0
Disk service queue full,1465394457,60
Disk service queue full,1465394517,0
Disk service queue full,1465394517,0
Percent cpu idle,1465394517,0
Percent cpu idle,1465394517,0
Disk service queue full,1465394517,1258
Disk service queue full,1465394517,1740
Disk service queue full,1465396257,602
15 Minute Average PageIn/PageOut,1465397515,0
Disk service queue full,1465398117,0
Disk service queue full,1465398117,60
Disk service queue full,1465398117,338
Disk service queue full,1465398177,619
Percent space used,1465398515,843
Percent CPU Utilization,1465399134,358
Disk service queue full,1465399977,268
ccc_cpuutil_3nt79FC3DF96EB0411A,1465400335,1114
Service status,1465400603,60
Disk service queue full,1465401717,898
Disk service queue full,1465401777,59
15 Minute Average PageIn/PageOut,1465402675,723
Percent CPU Utilization,1465402734,120
Disk service queue full,1465403457,1800
Disk service queue full,1465403577,0
Used Memory Pct,1465405377,1443
Disk service queue full,1465405377,2157
Percent CPU Utilization,1465407534,658
Disk service queue full,1465408977,1142
15 Minute Average PageIn/PageOut,1465409635,780
Disk service queue full,1465410777,145
Disk service queue full,1465411557,515
Percent CPU Utilization,1465411702,117
Disk service queue full,1465412217,243
Percent CPU Utilization,1465412334,60
Disk service queue full,1465412577,1740
Disk service queue full,1465412637,925
Disk service queue full,1465414377,155
Percent CPU Utilization,1465415302,720
Used Memory Pct,1465415457,357
Disk service queue full,1465416177,1443
Percent CPU Utilization,1465416534,180
Disk service queue full,1465417977,177
Used Memory Pct,1465418157,1501
Percent CPU Utilization,1465418334,299
15 Minute Average PageIn/PageOut,1465419835,3302
Percent CPU Utilization,1465420134,267
Percent CPU Utilization,1465423436,874
Service status,1465423703,120
Disk service queue full,1465424577,360
Disk service queue full,1465424697,120
Disk service queue full,1465425057,0
Disk service queue full,1465425177,0
Percent disk active,1465425177,178
Percent disk active,1465425177,602
15 Minute Average PageIn/PageOut,1465425355,477
Disk service queue full,1465425957,543
Percent CPU Utilization,1465426434,1080
Disk service queue full,1465426977,658
Disk service queue full,1465428057,1319
15 Minute Average PageIn/PageOut,1465428715,3783
Percent CPU Utilization,1465430034,240
Disk service queue full,1465433817,0
Percent disk active,1465434057,28
Percent disk active,1465434057,32
Percent space used,1465434085,60
Disk service queue full,1465434117,60
Disk service queue full,1465434177,1860
Disk service queue full,1465434237,837
Disk service queue full,1465436097,843
Percent CPU Utilization,1465436934,1257
Used Memory Pct,1465437777,1200
Percent CPU Utilization,1465439034,1023
Percent CPU Utilization,1465440234,60
Disk service queue full,1465441257,360
Disk service queue full,1465441317,180
Disk service queue full,1465441677,358
Disk service queue full,1465441857,400
15 Minute Average PageIn/PageOut,1465442215,322
Percent space used,1465442615,300
Percent space used,1465442937,1465
Percent space used,1465443237,2675
Percent CPU Utilization,1465444702,661
Used Memory Pct,1465447377,419
Disk service queue full,1465448038,0
Disk service queue full,1465448457,0
Disk service queue full,1465448457,1200
Percent disk active,1465449657,360
Percent disk active,1465449657,1317
Used Memory Pct,1465450017,4501
Percent CPU Utilization,1465451334,2
Percent CPU Utilization,1465455835,720
Disk service queue full,1465455837,1077
Disk service queue full,1465456557,4023
Percent CPU Utilization,1465457634,178
Disk service queue full,1465461657,300
Percent CPU Utilization,1465461835,302
15 Minute Average PageIn/PageOut,1465462135,1797
Percent space used,1465462437,2283
Percent CPU Utilization,1465464234,60
Disk service queue full,1465466517,358
Disk service queue full,1465466577,1622
Percent CPU Utilization,1465466935,0
,1465468557,240
Disk service queue full,1465468557,1320
Disk service queue full,1465469877,60
Disk service queue full,1465470117,0
Percent cpu idle,1465470177,328
Percent cpu idle,1465470177,1472
Percent space used,1465470505,60
Percent disk active,1465471977,900
Percent disk active,1465472037,0
Used Memory Pct,1465472937,121
Percent space used,1465472937,660
Percent space used,1465473597,59
Disk service queue full,1465473718,0
Disk service queue full,1465473777,0
Percent cpu idle,1465473777,60
Disk service queue full,1465473777,838
Disk service queue full,1465473837,902
15 Minute Average PageIn/PageOut,1465474675,1800
Disk service queue full,1465475577,240
Disk service queue full,1465477377,60
Disk service queue full,1465477617,1380
Disk service queue full,1465477677,120
Disk service queue full,1465479057,1258
Disk service queue full,1465479177,302
Percent CPU Utilization,1465480435,120
Percent disk active,1465480737,60
Disk service queue full,1465480857,0
Disk service queue full,1465480917,0
Disk service queue full,1465480917,0
Disk service queue full,1465480917,0
Disk service queue full,1465480917,0
Disk service queue full,1465480917,1
Percent cpu idle,1465480918,59
Percent cpu idle,1465480918,1800
Disk service queue full,1465480977,1020
Disk service queue full,1465482777,720
Used Memory Pct,1465483797,0
Disk service queue full,1465484517,120
Disk service queue full,1465484517,1740
Disk service queue full,1465486257,658
Disk service queue full,1465486377,1082
Percent CPU Utilization,1465487035,60
Disk service queue full,1465488117,898
Disk service queue full,1465488177,300
15 Minute Average PageIn/PageOut,1465489075,122
15 Minute Average PageIn/PageOut,1465489375,1738
Used Memory Pct,1465489497,2222
Percent CPU Utilization,1465491235,120
Disk service queue full,1465493457,25
Disk service queue full,1465493577,600
Percent CPU Utilization,1465493602,333
Percent CPU Utilization,1465494202,842
Percent CPU Utilization,1465494535,958
Disk service queue full,1465495377,602
Percent CPU Utilization,1465496335,1680
Disk service queue full,1465496937,360
Disk service queue full,1465498617,60
Disk service queue full,1465498977,658
Disk service queue full,1465499037,962
15 Minute Average PageIn/PageOut,1465499695,478
Used Memory Pct,1465500657,422
Percent CPU Utilization,1465501135,1020
Disk service queue full,1465501557,660
Disk service queue full,1465502577,360
Percent space used,1465503237,518
Percent space used,1465503597,383
Percent space used,1465504115,659
Used Memory Pct,1465504498,1378
Disk service queue full,1465505157,542
Percent CPU Utilization,1465506535,900
Disk service queue full,1465507077,961
Disk service queue full,1465507977,179
Used Memory Pct,1465508938,718
Disk service queue full,1465509117,1322
Percent CPU Utilization,1465509835,0
Disk service queue full,1465511157,238
Disk service queue full,1465511157,420
Disk service queue full,1465511577,542
15 Minute Average PageIn/PageOut,1465511815,2160
Disk service queue full,1465512357,598
Disk service queue full,1465514517,1320
15 Minute Average PageIn/PageOut,1465515115,482
Percent CPU Utilization,1465516435,358
Disk service queue full,1465516917,1502
15 Minute Average PageIn/PageOut,1465517275,58
Disk service queue full,1465518777,1200
Percent CPU Utilization,1465518835,182
Percent CPU Utilization,1465520035,87
Disk service queue full,1465520217,34
Service status,1465520304,147
Used Memory Pct,1465520338,32
Percent space used,1465520485,118
Disk service queue full,1465520517,2
Percent CPU Utilization,1465520635,508
Disk service queue full,1465520637,1473
Percent space used,1465521145,839
Used Memory Pct,1465522618,1078
Disk service queue full,1465523457,303
Percent CPU Utilization,1465524535,297
Percent space used,1465524838,842
Percent CPU Utilization,1465525135,480
Disk service queue full,1465525977,178
Disk service queue full,1465526457,1082
Percent CPU Utilization,1465526635,0
Disk service queue full,1465527717,120
Disk service queue full,1465527717,360
Percent disk active,1465528077,360
Disk service queue full,1465528197,60
Disk service queue full,1465528557,58
Disk service queue full,1465528617,1260
15 Minute Average PageIn/PageOut,1465528675,1022
Percent CPU Utilization,1465529935,420
Disk service queue full,1465530957,1
Disk service queue full,1465531377,1557
Used Memory Pct,1465531378,603
Percent CPU Utilization,1465532935,300
Percent space used,1465533538,120
Percent space used,1465533838,899
Percent space used,1465533958,60
Disk service queue full,1465534857,2760
Disk service queue full,1465534917,780
Disk service queue full,1465537677,1321
Disk service queue full,1465538457,1257
Used Memory Pct,1465539778,1142
Percent CPU Utilization,1465541035,1
Disk service queue full,1465542177,779
Used Memory Pct,1465542178,661
Disk service queue full,1465542957,119
Used Memory Pct,1465543618,240
Percent disk active,1465543737,1201
Disk service queue full,1465543977,24
Used Memory Pct,1465545178,1293
Percent CPU Utilization,1465545202,62
15 Minute Average PageIn/PageOut,1465546495,479
Disk service queue full,1465546557,2221
Percent CPU Utilization,1465547036,120
Disk service queue full,1465549257,1258
Disk service queue full,1465549377,1480
Percent CPU Utilization,1465550635,862
Percent space used,1465552115,60
Disk service queue full,1465552977,1498
Disk service queue full,1465553037,1022
Percent CPU Utilization,1465554535,60
Percent disk active,1465555557,0
Disk service queue full,1465555617,1
Percent disk active,1465555617,359
Used Memory Pct,1465555618,60
Disk service queue full,1465555977,240
Disk service queue full,1465556037,58
Disk service queue full,1465556277,182
15 Minute Average PageIn/PageOut,1465556335,60
Disk service queue full,1465556517,1
Disk service queue full,1465556577,0
Percent cpu idle,1465556578,1140
Percent cpu idle,1465556578,1257
Percent CPU Utilization,1465557835,482
15 Minute Average PageIn/PageOut,1465558975,661
Percent disk active,1465559457,60
Disk service queue full,1465560118,59
Percent cpu idle,1465560178,118
Disk service queue full,1465560237,780
15 Minute Average PageIn/PageOut,1465560355,2403
15 Minute Average PageIn/PageOut,1465561135,479
Percent space used,1465563538,60
Disk service queue full,1465564017,0
Disk service queue full,1465564077,23
Percent disk active,1465564077,38
Percent space used,1465564115,297
Percent space used,1465564138,1503
Percent CPU Utilization,1465564435,0
Disk service queue full,1465565938,0
Disk service queue full,1465565938,1319
Disk service queue full,1465567257,0
Disk service queue full,1465567257,0
Disk service queue full,1465567257,0
Disk service queue full,1465567257,60
Disk service queue full,1465567317,0
Disk service queue full,1465567317,0
Disk service queue full,1465567317,0
Disk service queue full,1465567317,0
Disk service queue full,1465567317,0
Disk service queue full,1465567317,1
Percent cpu idle,1465567318,0
Percent cpu idle,1465567318,60
Percent disk active,1465567378,30
Disk service queue full,1465567378,147
Percent space used,1465567525,120
Percent space used,1465567555,480
Percent space used,1465567675,0
15 Minute Average PageIn/PageOut,1465568155,0
15 Minute Average PageIn/PageOut,1465568155,0
15 Minute Average PageIn/PageOut,1465568155,0
15 Minute Average PageIn/PageOut,1465568155,60
15 Minute Average PageIn/PageOut,1465568215,0
15 Minute Average PageIn/PageOut,1465568215,0
15 Minute Average PageIn/PageOut,1465568215,1
15 Minute Average PageIn/PageOut,1465568216,0
15 Minute Average PageIn/PageOut,1465568216,0
15 Minute Average PageIn/PageOut,1465568216,0
15 Minute Average PageIn/PageOut,1465568216,0
15 Minute Average PageIn/PageOut,1465568216,59
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,0
15 Minute Average PageIn/PageOut,1465568275,61
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,0
15 Minute Average PageIn/PageOut,1465568336,1140
15 Minute Average PageIn/PageOut,1465568336,1442
Used Memory Pct,1465569778,2517
Disk service queue full,1465570918,1082
Percent CPU Utilization,1465573435,1018
Disk service queue full,1465574517,722
15 Minute Average PageIn/PageOut,1465575535,446
Disk service queue full,1465576257,1235
Service status,1465576703,297
Used Memory Pct,1465577938,3303
Percent CPU Utilization,1465578235,119
Used Memory Pct,1465581538,1800
Disk service queue full,1465581657,420
Disk service queue full,1465583457,1141
Percent disk active,1465583877,117
Disk service queue full,1465585018,302
Percent CPU Utilization,1465585135,720
Disk service queue full,1465585437,1678
Percent disk active,1465586157,2702
Percent CPU Utilization,1465587835,1020
Percent disk active,1465590537,241
Disk service queue full,1465591557,779
Used Memory Pct,1465591798,1561
Percent disk active,1465592577,3359
Used Memory Pct,1465594138,360
Disk service queue full,1465597497,358
Disk service queue full,1465597857,120
15 Minute Average PageIn/PageOut,1465598215,423
Percent CPU Utilization,1465598335,900
Disk service queue full,1465598758,1199
Disk service queue full,1465599658,658
Disk service queue full,1465600857,720
15 Minute Average PageIn/PageOut,1465601515,3300
Percent CPU Utilization,1465602235,602
Percent CPU Utilization,1465605535,480
Percent disk active,1465606137,269
Disk service queue full,1465606617,92
Percent space used,1465606886,60
Used Memory Pct,1465606978,659
Disk service queue full,1465607038,838
Percent disk active,1465607697,3300
Percent CPU Utilization,1465608535,1800
Percent CPU Utilization,1465611835,423
Percent CPU Utilization,1465613635,0
Disk service queue full,1465614058,60
Disk service queue full,1465614058,60
Disk service queue full,1465614118,660
Disk service queue full,1465614178,59
Percent space used,1465614838,119
Percent disk active,1465614897,1202
15 Minute Average PageIn/PageOut,1465615016,119
Disk service queue full,1465616218,121
Disk service queue full,1465616337,120
Used Memory Pct,1465616458,1080
Disk service queue full,1465616578,1740
Disk service queue full,1465617658,1137
Percent disk active,1465619398,723
Percent CPU Utilization,1465620535,60
Disk service queue full,1465621258,658
Disk service queue full,1465621318,242
15 Minute Average PageIn/PageOut,1465621976,417
Used Memory Pct,1465622218,243
Percent CPU Utilization,1465622635,337
Percent space used,1465622878,323
Percent space used,1465623215,780
Percent space used,1465623538,660
Disk service queue full,1465624318,1557
Used Memory Pct,1465624978,3
Percent CPU Utilization,1465626535,960
Percent disk active,1465626538,1020
Used Memory Pct,1465627498,60
Disk service queue full,1465628518,0
Disk service queue full,1465628578,477
Disk service queue full,1465628578,780
Disk service queue full,1465629358,1
Percent CPU Utilization,1465629835,422
15 Minute Average PageIn/PageOut,1465629836,120
Percent disk active,1465630258,480
Disk service queue full,1465630378,2098
Used Memory Pct,1465630858,662
15 Minute Average PageIn/PageOut,1465632956,360
Used Memory Pct,1465633618,1800
Disk service queue full,1465633978,0
Disk service queue full,1465635778,780
Used Memory Pct,1465635778,2760
Disk service queue full,1465636558,60
Disk service queue full,1465639318,57
Used Memory Pct,1465639378,3483
Percent CPU Utilization,1465639435,0
Disk service queue full,1465642918,0
Disk service queue full,1465642918,60
Percent cpu idle,1465642978,0
Percent cpu idle,1465642978,0
Used Memory Pct,1465642978,180
Disk service queue full,1465642978,3300
Used Memory Pct,1465646278,60
Disk service queue full,1465646458,0
Disk service queue full,1465646518,0
Disk service queue full,1465646518,60
Percent cpu idle,1465646578,120
Disk service queue full,1465646578,718
15 Minute Average PageIn/PageOut,1465647296,2762
15 Minute Average PageIn/PageOut,1465647416,240
Used Memory Pct,1465650178,60
Disk service queue full,1465650418,300
Disk service queue full,1465650478,57
Disk service queue full,1465650778,1383
Percent CPU Utilization,1465650835,1440
Used Memory Pct,1465652218,0
Disk service queue full,1465653658,0
Disk service queue full,1465653658,60
Disk service queue full,1465653718,0
Disk service queue full,1465653718,0
Percent cpu idle,1465653718,0
Disk service queue full,1465653718,0
Disk service queue full,1465653718,0
Percent cpu idle,1465653718,60
Used Memory Pct,1465653778,60
Disk service queue full,1465653778,718
Disk service queue full,1465653838,0
15 Minute Average PageIn/PageOut,1465654556,0
15 Minute Average PageIn/PageOut,1465654556,60
15 Minute Average PageIn/PageOut,1465654556,1619
15 Minute Average PageIn/PageOut,1465654616,543
Percent CPU Utilization,1465656235,540
Percent disk active,1465656778,0
Used Memory Pct,1465657318,0
Disk service queue full,1465657318,477
Disk service queue full,1465657318,1740
Disk service queue full,1465659058,1383
Percent CPU Utilization,1465659535,120
Disk service queue full,1465660918,60
Percent disk active,1465661038,537
Disk service queue full,1465661098,301
Percent CPU Utilization,1465661635,266
15 Minute Average PageIn/PageOut,1465661936,3901
Percent CPU Utilization,1465662202,0
Service status,1465666103,145
Service status,1465666103,155
Disk service queue full,1465666258,300
Service status,1465666403,0
Service status,1465666703,1
Service status,1465666703,1354
Service status,1465666704,0
Disk service queue full,1465668058,268
Used Memory Pct,1465668058,1677
Percent CPU Utilization,1465669735,1415
Service status,1465670003,117
Disk service queue full,1465671418,243
Percent CPU Utilization,1465671535,25
Used Memory Pct,1465671778,35
Service status,1465671803,1260
Disk service queue full,1465671838,360
Percent disk active,1465673098,1377
Disk service queue full,1465673458,543
Percent CPU Utilization,1465674835,1080
Used Memory Pct,1465675378,477
Disk service queue full,1465676458,1563
Percent CPU Utilization,1465676935,837
Percent disk active,1465678498,1563
Percent CPU Utilization,1465679335,840
Disk service queue full,1465680898,2160
Used Memory Pct,1465681738,718
Disk service queue full,1465683898,119
15 Minute Average PageIn/PageOut,1465684616,423
Percent CPU Utilization,1465684735,1677
Disk service queue full,1465685158,124
Percent CPU Utilization,1465686835,299
Disk service queue full,1465686959,0
Disk service queue full,1465687258,180
Disk service queue full,1465687258,479
Percent disk active,1465687438,1081
15 Minute Average PageIn/PageOut,1465687917,2937
Percent disk active,1465688998,1083
Percent CPU Utilization,1465691935,268
Disk service queue full,1465693018,152
Percent space used,1465693286,3840
Disk service queue full,1465693438,958
Percent disk active,1465697278,299
15 Minute Average PageIn/PageOut,1465698236,1923
Percent CPU Utilization,1465698535,61
Disk service queue full,1465700458,0
Disk service queue full,1465700519,59
Disk service queue full,1465700519,120
Disk service queue full,1465700578,300
Disk service queue full,1465700698,418
Disk service queue full,1465700998,1082
15 Minute Average PageIn/PageOut,1465701416,120
Percent disk active,1465702498,1317
Disk service queue full,1465702618,123
Percent CPU Utilization,1465703935,0
Disk service queue full,1465704058,1677
Disk service queue full,1465704058,1983
Percent CPU Utilization,1465705735,660
Disk service queue full,1465707718,60
Disk service queue full,1465708378,300
Percent space used,1465708438,840
Percent space used,1465708738,357
Percent space used,1465709578,1323
Percent CPU Utilization,1465709935,2700
Disk service queue full,1465711258,900
